Fav,Pos,Bib No,Name,Time,Cat Pos,Gen Pos,Swim,T1,Run,Category,Time_seconds,Swim_seconds,T1_seconds,Run_seconds
,1,401, TSUYOSHI SAWADA,00:41:18,1,1,00:12:42,00:02:39,00:25:56,SprintAquathlon5059M,2478,762,159,1556
,2,398, MATT AUSTIN,00:43:51,2,2,00:15:42,00:03:32,00:24:35,SprintAquathlon5059M,2631,942,212,1475
,3,397, DEDI ARNOFRI AGUSTAMI,00:56:55,3,3,00:20:50,00:05:55,00:30:10,SprintAquathlon5059M,3415,1250,355,1810
,4,395, ALAN TAN,00:57:24,4,4,00:17:29,00:03:44,00:36:11,SprintAquathlon5059M,3444,1049,224,2171
,5,396, BERNARD KHOO ENG HOOI,00:57:37,5,5,00:19:03,00:04:01,00:34:32,SprintAquathlon5059M,3457,1143,241,2072
,6,400, MOHD SYUKRI HAMID,01:01:12,6,6,00:20:54,00:05:16,00:35:02,SprintAquathlon5059M,3672,1254,316,2102
